leaf_cluster_id,block_id
0_0,0
0_1,1
0_2,1
0_3,1
0_4,1
0_5,1
0_6,2
0_7,1
0_8,3
0_9,1
0_10,1
0_11,4
0_12,1
0_13,5
0_14,1
0_15,1
0_16,1
0_17,6
0_18,7
0_19,1
0_20,8
0_21,9
0_22,10
0_23,11
0_24,1
0_25,12
0_26,13
0_27,1
0_28,1
0_29,1
0_30,14
0_31,1
0_32,1
0_33,15
0_34,16
0_35,17
0_36,18
0_37,19
0_38,20
0_39,21
0_40,22
0_41,23
0_42,1
0_43,1
0_44,24
0_45,25
0_46,26
0_47,27
0_48,28
0_49,29
0_50,30
0_51,31
0_52,32
0_53,33
0_54,34
0_55,35
0_56,36
0_57,1
0_58,37
0_59,38
0_60,1
0_61,39
0_62,1
0_63,40
0_64,41
0_65,42
0_66,43
0_67,44
0_68,45
0_69,46
0_70,47
0_71,48
0_72,49
0_73,1
0_74,50
0_75,51
0_76,52
0_77,53
0_78,1
0_79,54
0_80,55
0_81,56
0_82,57
0_83,58
0_84,59
0_85,60
0_86,61
0_87,62
0_88,63
0_89,64
0_90,65
0_91,66
0_92,67
0_93,68
0_94,69
0_95,70
0_96,71
0_97,72
0_98,73
0_99,74
0_100,75
0_101,76
0_102,77
0_103,78
0_104,79
0_105,80
0_106,81
0_107,82
0_108,83
0_109,84
0_110,85
0_111,86
0_112,87
0_113,88
0_114,89
0_115,90
0_116,91
0_117,92
0_118,93
0_119,94
0_120,95
0_121,96
0_122,97
0_123,98
0_124,99
0_125,100
0_126,101
0_127,102
0_128,103
0_129,104
0_130,105
0_131,106
0_132,1
0_133,1
0_134,1
0_135,1
0_136,1
0_137,1
0_138,1
0_139,107
0_140,1
0_141,108
0_142,109
0_143,110
0_144,111
0_145,112
0_146,1
0_147,113
0_148,114
0_149,115
0_150,116
0_151,117
0_152,118
0_153,119
0_154,120
0_155,121
0_156,1
0_157,1
0_158,1
0_159,122
0_160,123
0_161,124
0_162,1
0_163,125
0_164,126
0_165,127
0_166,128
0_167,129
0_168,130
0_169,131
0_170,132
0_171,133
0_172,134
0_173,135
0_174,136
0_175,1
0_176,137
0_177,138
0_178,139
0_179,140
0_180,141
0_181,142
0_182,143
0_183,144
0_184,145
0_185,146
0_186,147
0_187,148
0_188,149
0_189,150
0_190,151
0_191,152
0_192,153
0_193,154
0_194,155
0_195,156
0_196,157
0_197,158
0_198,159
0_199,160
0_200,161
0_201,162
0_202,163
0_203,164
0_204,165
0_205,166
0_206,167
0_207,168
0_208,169
0_209,170
0_210,171
0_211,172
0_212,173
0_213,174
0_214,175
0_215,176
0_216,177
0_217,178
0_218,179
0_219,180
0_220,1
0_221,181
0_222,182
0_223,1
0_224,183
0_225,184
0_226,185
0_227,186
0_228,187
0_229,188
0_230,189
0_231,1
0_232,190
0_233,191
0_234,192
0_235,193
0_236,194
0_237,195
1_0,196
2_0,197
3_0,198
5_0,199
6_0,200
