block_id,leaf_clusters,entities,border_edge_count,border_weight_sum
0,1,20,17,17.0
1,215,122382,467,467.0
2,1,4,1,1.0
3,1,3,5,5.0
4,1,14,25,25.0
5,1,3,4,4.0
6,1,12,26,26.0
7,1,4,10,10.0
8,1,19,44,44.0
9,1,4,8,8.0
10,1,9,15,15.0
11,1,126,31,31.0
12,1,139,29,29.0
13,1,105,46,46.0
14,1,116,24,24.0
15,1,68,31,31.0
16,1,50,31,31.0
17,1,11,12,12.0
18,1,29,35,35.0
19,1,13,28,28.0
20,1,8,18,18.0
21,1,6,25,25.0
22,1,4,2,2.0
23,1,4,4,4.0
24,1,4,0,0.0
25,1,7,0,0.0
26,1,3,0,0.0
27,1,3,0,0.0
28,1,3,0,0.0
