block_id,leaf_clusters,entities,border_edge_count,border_weight_sum
0,1,20,17,17.0
1,1,1858,6644,6644.0
2,1,3501,10457,10457.0
3,1,2900,9785,9785.0
4,1,3063,4405,4405.0
5,1,2572,6531,6531.0
6,1,288,514,514.0
7,1,1781,6499,6499.0
8,1,132,298,298.0
9,1,2251,7561,7561.0
10,1,2095,6970,6970.0
11,1,438,1071,1071.0
12,1,1615,5592,5592.0
13,1,3362,3982,3982.0
14,1,2249,4251,4251.0
15,1,3893,10186,10186.0
16,1,2462,9794,9794.0
17,1,240,204,204.0
18,1,520,1092,1092.0
19,1,1254,4235,4235.0
20,1,592,1554,1554.0
21,1,988,1781,1781.0
22,1,2865,2434,2434.0
23,1,4,1,1.0
24,1,1572,6507,6507.0
25,1,50,235,235.0
26,1,200,586,586.0
27,1,677,4248,4248.0
28,6,13446,102270,102270.0
29,1,917,5933,5933.0
30,1,221,833,833.0
31,1,559,4665,4665.0
32,1,1254,6577,6577.0
33,1,677,3940,3940.0
34,1,275,1242,1242.0
35,1,285,1408,1408.0
36,1,94,509,509.0
37,1,195,1561,1561.0
38,1,203,1009,1009.0
39,1,195,1300,1300.0
40,1,204,885,885.0
41,1,461,1926,1926.0
42,1,1135,5751,5751.0
43,1,931,4032,4032.0
44,1,185,851,851.0
45,1,107,686,686.0
46,1,85,404,404.0
47,1,296,1305,1305.0
48,1,3,5,5.0
49,1,257,1156,1156.0
50,1,285,1449,1449.0
51,1,171,953,953.0
52,1,116,178,178.0
53,1,115,380,380.0
54,1,62,176,176.0
55,1,134,618,618.0
56,1,547,878,878.0
57,1,2106,7608,7608.0
58,1,376,657,657.0
59,1,351,917,917.0
60,1,3421,12645,12645.0
61,1,436,1440,1440.0
62,1,163,243,243.0
63,1,5,48,48.0
64,1,256,281,281.0
65,1,164,265,265.0
66,1,415,552,552.0
67,1,384,861,861.0
68,1,301,788,788.0
69,1,413,677,677.0
70,1,565,1335,1335.0
71,1,246,614,614.0
72,1,1559,7752,7752.0
73,1,218,1368,1368.0
74,1,588,2886,2886.0
75,1,108,623,623.0
76,1,347,1888,1888.0
77,1,2065,9400,9400.0
78,1,14,25,25.0
79,1,604,1702,1702.0
80,1,471,2940,2940.0
81,1,300,1142,1142.0
82,1,3,4,4.0
83,1,31,91,91.0
84,1,12,26,26.0
85,1,503,2565,2565.0
86,1,15,50,50.0
87,1,198,877,877.0
88,1,31,73,73.0
89,1,1047,3896,3896.0
90,1,128,173,173.0
91,1,4,10,10.0
92,1,19,44,44.0
93,1,136,206,206.0
94,1,4,8,8.0
95,1,40,135,135.0
96,1,206,63,63.0
97,1,174,53,53.0
98,1,9,15,15.0
99,1,241,64,64.0
100,1,178,85,85.0
101,1,380,131,131.0
102,1,126,31,31.0
103,1,185,81,81.0
104,1,313,206,206.0
105,1,132,118,118.0
106,1,139,29,29.0
107,1,311,1255,1255.0
108,1,295,106,106.0
109,1,149,73,73.0
110,1,105,46,46.0
111,1,220,1473,1473.0
112,1,116,24,24.0
113,1,159,1059,1059.0
114,1,412,1463,1463.0
115,1,68,31,31.0
116,1,544,1708,1708.0
117,1,87,143,143.0
118,1,126,277,277.0
119,1,573,1363,1363.0
120,1,44,80,80.0
121,1,61,83,83.0
122,1,716,3082,3082.0
123,1,86,203,203.0
124,1,46,97,97.0
125,1,99,248,248.0
126,1,382,760,760.0
127,1,50,31,31.0
128,1,48,157,157.0
129,1,210,423,423.0
130,1,324,308,308.0
131,1,1984,8547,8547.0
132,1,1158,8819,8819.0
133,1,1078,7732,7732.0
134,1,1044,5370,5370.0
135,1,246,1797,1797.0
136,1,642,1628,1628.0
137,1,209,298,298.0
138,1,141,214,214.0
139,1,226,2536,2536.0
140,1,392,3733,3733.0
141,1,474,4487,4487.0
142,1,140,245,245.0
143,1,81,284,284.0
144,1,395,2367,2367.0
145,1,337,3799,3799.0
146,1,440,3796,3796.0
147,1,26,63,63.0
148,1,562,2907,2907.0
149,1,451,3085,3085.0
150,1,103,322,322.0
151,1,675,6302,6302.0
152,1,456,4679,4679.0
153,1,927,9662,9662.0
154,1,640,2555,2555.0
155,1,28,112,112.0
156,1,547,1534,1534.0
157,1,1211,8854,8854.0
158,1,199,1479,1479.0
159,1,69,79,79.0
160,1,122,1291,1291.0
161,1,239,1149,1149.0
162,1,849,1354,1354.0
163,1,20,49,49.0
164,1,425,906,906.0
165,1,111,144,144.0
166,1,230,347,347.0
167,1,11,12,12.0
168,1,75,411,411.0
169,1,51,197,197.0
170,1,659,12569,12569.0
171,1,94,151,151.0
172,1,77,139,139.0
173,1,149,232,232.0
174,1,29,35,35.0
175,1,48,182,182.0
176,1,93,168,168.0
177,1,65,120,120.0
178,1,321,748,748.0
179,1,13,28,28.0
180,1,8,18,18.0
181,1,160,276,276.0
182,1,40,113,113.0
183,1,847,2522,2522.0
184,1,82,148,148.0
185,1,73,231,231.0
186,1,72,148,148.0
187,1,100,187,187.0
188,1,6,25,25.0
189,1,64,107,107.0
190,1,108,229,229.0
191,1,4,2,2.0
192,1,4,4,4.0
193,1,69,112,112.0
194,1,114,344,344.0
195,1,50,139,139.0
196,1,102,153,153.0
197,1,64,111,111.0
198,1,60,190,190.0
199,1,324,2505,2505.0
200,1,515,2851,2851.0
201,1,351,2047,2047.0
202,1,123,554,554.0
203,1,77,365,365.0
204,1,148,786,786.0
205,1,265,2301,2301.0
206,1,48,228,228.0
207,1,173,750,750.0
208,1,171,1080,1080.0
209,1,39,196,196.0
210,1,491,2462,2462.0
211,1,581,2922,2922.0
212,1,656,2746,2746.0
213,1,50,234,234.0
214,1,248,1420,1420.0
215,1,1172,8268,8268.0
216,1,580,3415,3415.0
217,1,57,389,389.0
218,1,667,4108,4108.0
219,1,215,1323,1323.0
220,1,215,1348,1348.0
221,1,212,1303,1303.0
222,1,90,664,664.0
223,1,146,983,983.0
224,1,312,1715,1715.0
225,1,522,3358,3358.0
226,1,1010,6188,6188.0
227,1,145,877,877.0
228,1,124,668,668.0
229,1,203,1310,1310.0
230,1,63,393,393.0
231,1,275,1712,1712.0
232,1,78,483,483.0
233,1,4,0,0.0
234,1,7,0,0.0
235,1,3,0,0.0
236,1,3,0,0.0
237,1,3,0,0.0
