block_id,leaf_clusters,entities,border_edge_count,border_weight_sum
0,1,20,17,17.0
1,202,121156,1316,1316.0
2,1,4,1,1.0
3,1,3,5,5.0
4,1,5,48,48.0
5,1,14,25,25.0
6,1,3,4,4.0
7,1,12,26,26.0
8,1,15,50,50.0
9,1,31,73,73.0
10,1,4,10,10.0
11,1,19,44,44.0
12,1,4,8,8.0
13,1,206,63,63.0
14,1,174,53,53.0
15,1,9,15,15.0
16,1,241,64,64.0
17,1,126,31,31.0
18,1,185,81,81.0
19,1,139,29,29.0
20,1,149,73,73.0
21,1,105,46,46.0
22,1,116,24,24.0
23,1,68,31,31.0
24,1,44,80,80.0
25,1,61,83,83.0
26,1,50,31,31.0
27,1,26,63,63.0
28,1,69,79,79.0
29,1,20,49,49.0
30,1,11,12,12.0
31,1,29,35,35.0
32,1,13,28,28.0
33,1,8,18,18.0
34,1,6,25,25.0
35,1,4,2,2.0
36,1,4,4,4.0
37,1,4,0,0.0
38,1,7,0,0.0
39,1,3,0,0.0
40,1,3,0,0.0
41,1,3,0,0.0
