block_id,leaf_clusters,entities,border_edge_count,border_weight_sum
0,1,20,17,17.0
1,117,109016,27778,27778.0
2,1,288,514,514.0
3,1,132,298,298.0
4,1,240,204,204.0
5,1,4,1,1.0
6,1,50,235,235.0
7,1,200,586,586.0
8,1,221,833,833.0
9,1,94,509,509.0
10,1,185,851,851.0
11,1,107,686,686.0
12,1,85,404,404.0
13,1,3,5,5.0
14,1,116,178,178.0
15,1,115,380,380.0
16,1,62,176,176.0
17,1,134,618,618.0
18,1,376,657,657.0
19,1,163,243,243.0
20,1,5,48,48.0
21,1,256,281,281.0
22,1,164,265,265.0
23,1,415,552,552.0
24,1,384,861,861.0
25,1,301,788,788.0
26,1,413,677,677.0
27,1,246,614,614.0
28,1,108,623,623.0
29,1,14,25,25.0
30,1,3,4,4.0
31,1,31,91,91.0
32,1,12,26,26.0
33,1,15,50,50.0
34,1,31,73,73.0
35,1,128,173,173.0
36,1,4,10,10.0
37,1,19,44,44.0
38,1,136,206,206.0
39,1,4,8,8.0
40,1,40,135,135.0
41,1,206,63,63.0
42,1,174,53,53.0
43,1,9,15,15.0
44,1,241,64,64.0
45,1,178,85,85.0
46,1,380,131,131.0
47,1,126,31,31.0
48,1,185,81,81.0
49,1,313,206,206.0
50,1,132,118,118.0
51,1,139,29,29.0
52,1,295,106,106.0
53,1,149,73,73.0
54,1,105,46,46.0
55,1,116,24,24.0
56,1,68,31,31.0
57,1,87,143,143.0
58,1,126,277,277.0
59,1,44,80,80.0
60,1,61,83,83.0
61,1,86,203,203.0
62,1,46,97,97.0
63,1,99,248,248.0
64,1,382,760,760.0
65,1,50,31,31.0
66,1,48,157,157.0
67,1,210,423,423.0
68,1,324,308,308.0
69,1,209,298,298.0
70,1,141,214,214.0
71,1,140,245,245.0
72,1,81,284,284.0
73,1,26,63,63.0
74,1,103,322,322.0
75,1,28,112,112.0
76,1,69,79,79.0
77,1,20,49,49.0
78,1,111,144,144.0
79,1,230,347,347.0
80,1,11,12,12.0
81,1,75,411,411.0
82,1,51,197,197.0
83,1,94,151,151.0
84,1,77,139,139.0
85,1,149,232,232.0
86,1,29,35,35.0
87,1,48,182,182.0
88,1,93,168,168.0
89,1,65,120,120.0
90,1,321,748,748.0
91,1,13,28,28.0
92,1,8,18,18.0
93,1,160,276,276.0
94,1,40,113,113.0
95,1,82,148,148.0
96,1,73,231,231.0
97,1,72,148,148.0
98,1,100,187,187.0
99,1,6,25,25.0
100,1,64,107,107.0
101,1,108,229,229.0
102,1,4,2,2.0
103,1,4,4,4.0
104,1,69,112,112.0
105,1,114,344,344.0
106,1,50,139,139.0
107,1,102,153,153.0
108,1,64,111,111.0
109,1,60,190,190.0
110,1,123,554,554.0
111,1,77,365,365.0
112,1,148,786,786.0
113,1,48,228,228.0
114,1,173,750,750.0
115,1,39,196,196.0
116,1,50,234,234.0
117,1,57,389,389.0
118,1,90,664,664.0
119,1,124,668,668.0
120,1,63,393,393.0
121,1,78,483,483.0
122,1,4,0,0.0
123,1,7,0,0.0
124,1,3,0,0.0
125,1,3,0,0.0
126,1,3,0,0.0
