u,v,weight_sum,edge_count,multi_sum
0_161,0_183,2.0,2,2
0_161,0_226,1.0,1,1
0_161,0_221,1.0,1,1
0_162,0_165,101.0,101,183
0_162,0_163,97.0,97,168
0_162,0_166,279.0,279,342
0_162,0_188,1.0,1,1
0_162,0_167,3.0,3,6
0_162,0_169,1.0,1,1
0_162,0_236,1.0,1,1
0_163,0_175,1.0,1,1
0_163,0_204,1.0,1,1
0_163,0_165,4.0,4,8
0_163,0_167,3.0,3,3
0_163,0_166,7.0,7,9
0_163,0_237,2.0,2,2
0_163,0_190,2.0,2,2
0_163,0_231,2.0,2,2
0_163,0_188,1.0,1,1
0_163,0_229,1.0,1,1
0_164,0_175,1.0,1,1
0_164,0_169,1.0,1,1
0_164,0_188,4.0,4,4
0_164,0_167,6.0,6,6
0_164,0_226,1.0,1,1
0_164,0_166,1.0,1,1
0_164,0_192,1.0,1,1
0_165,0_166,10.0,10,12
0_165,0_167,2.0,2,2
0_166,0_175,1.0,1,1
0_166,0_226,3.0,3,3
0_166,0_224,1.0,1,1
0_166,0_225,1.0,1,1
0_166,0_229,1.0,1,1
0_166,0_231,1.0,1,1
0_166,0_167,1.0,1,1
0_166,0_184,1.0,1,1
0_167,0_210,3.0,3,4
0_167,0_175,12.0,12,13
0_167,0_209,2.0,2,2
0_167,0_225,4.0,4,4
0_167,0_188,28.0,28,29
0_167,0_204,1.0,1,1
0_167,0_173,2.0,2,2
0_167,0_221,5.0,5,5
0_167,0_212,5.0,5,5
0_167,0_223,7.0,7,7
0_167,0_220,10.0,10,10
0_167,0_231,7.0,7,7
0_167,0_229,6.0,6,6
0_167,0_234,1.0,1,1
0_167,0_203,8.0,8,9
0_167,0_226,1.0,1,1
0_167,0_235,1.0,1,1
0_167,0_230,4.0,4,4
0_167,0_205,7.0,7,7
0_167,0_206,3.0,3,3
0_167,0_215,2.0,2,2
0_167,0_213,2.0,2,2
0_167,0_190,1.0,1,1
0_167,0_211,2.0,2,2
0_167,0_232,1.0,1,1
0_167,0_224,1.0,1,1
0_167,0_216,1.0,1,1
0_167,0_169,1.0,1,1
0_167,0_174,1.0,1,1
0_167,0_208,1.0,1,1
0_168,0_175,11.0,11,11
0_168,0_220,1.0,1,1
0_168,0_204,3.0,3,3
0_168,0_226,3.0,3,3
0_168,0_205,2.0,2,2
0_168,0_223,2.0,2,2
0_168,0_229,2.0,2,2
0_168,0_225,1.0,1,1
0_168,0_231,2.0,2,2
0_168,0_216,1.0,1,1
0_168,0_230,3.0,3,3
0_168,0_221,1.0,1,1
0_168,0_224,1.0,1,1
0_168,0_210,1.0,1,1
0_169,0_175,240.0,240,242
0_169,0_210,5.0,5,5
0_169,0_230,7.0,7,7
0_169,0_223,7.0,7,7
0_169,0_204,16.0,16,16
0_169,0_183,1.0,1,1
0_169,0_216,5.0,5,5
0_169,0_206,6.0,6,6
0_169,0_231,8.0,8,8
0_169,0_214,1.0,1,1
0_169,0_205,6.0,6,6
0_169,0_198,6.0,6,6
0_169,0_221,10.0,10,10
0_169,0_219,3.0,3,3
0_169,0_190,4.0,4,4
0_169,0_213,3.0,3,3
0_169,0_201,1.0,1,1
0_169,0_186,3.0,3,3
0_169,0_193,1.0,1,1
0_169,0_171,2.0,2,2
0_169,0_188,9.0,9,9
0_169,0_199,3.0,3,3
0_169,0_225,4.0,4,4
0_169,0_220,10.0,10,10
0_169,0_173,2.0,2,2
0_169,0_228,3.0,3,3
0_169,0_178,1.0,1,1
0_169,0_232,1.0,1,1
0_169,0_212,4.0,4,4
0_169,0_233,4.0,4,4
0_169,0_203,1.0,1,1
0_169,0_207,1.0,1,1
0_169,0_192,2.0,2,2
0_169,0_229,2.0,2,2
0_169,0_236,1.0,1,1
0_169,0_215,3.0,3,3
0_169,0_184,1.0,1,1
0_170,0_210,1.0,1,1
0_170,0_175,57.0,57,60
0_170,0_209,1.0,1,1
0_170,0_220,1.0,1,1
0_170,0_181,1.0,1,1
0_170,0_171,1.0,1,1
0_170,0_195,1.0,1,1
0_170,0_178,1.0,1,1
0_170,0_188,2.0,2,2
0_170,0_237,1.0,1,1
0_170,0_205,2.0,2,2
0_170,0_207,1.0,1,1
0_170,0_221,3.0,3,3
0_170,0_230,2.0,2,2
0_170,0_223,1.0,1,1
0_170,0_212,1.0,1,1
0_171,0_175,138.0,138,138
0_171,0_195,1.0,1,1
0_171,0_221,1.0,1,1
0_171,0_204,6.0,6,6
0_171,0_206,4.0,4,4
0_171,0_215,3.0,3,3
0_171,0_236,1.0,1,1
0_171,0_181,1.0,1,1
0_171,0_205,3.0,3,3
0_171,0_198,8.0,8,8
0_171,0_199,3.0,3,3
0_171,0_216,2.0,2,2
0_171,0_230,3.0,3,3
0_171,0_186,1.0,1,1
0_171,0_229,1.0,1,1
0_171,0_207,2.0,2,2
0_171,0_191,2.0,2,2
0_171,0_212,1.0,1,1
0_171,0_182,1.0,1,1
0_171,0_209,3.0,3,3
0_172,0_175,5.0,5,5
0_173,0_210,9.0,9,9
0_173,0_175,41.0,41,42
0_173,0_188,46.0,46,48
0_173,0_231,4.0,4,4
0_173,0_220,3.0,3,3
0_173,0_225,2.0,2,3
0_173,0_216,10.0,10,10
0_173,0_204,12.0,12,12
0_173,0_229,6.0,6,6
0_173,0_211,3.0,3,5
0_173,0_212,2.0,2,2
0_173,0_203,1.0,1,1
0_173,0_224,4.0,4,4
0_173,0_205,4.0,4,4
0_173,0_190,2.0,2,2
0_173,0_226,2.0,2,2
0_173,0_209,1.0,1,1
0_173,0_206,3.0,3,3
0_173,0_215,8.0,8,8
0_173,0_207,3.0,3,3
0_173,0_183,1.0,1,1
0_173,0_221,3.0,3,3
0_173,0_194,1.0,1,1
0_173,0_236,5.0,5,5
0_173,0_230,3.0,3,3
0_173,0_213,2.0,2,2
0_173,0_223,2.0,2,2
0_173,0_232,1.0,1,1
0_173,0_234,1.0,1,1
0_173,0_199,1.0,1,1
0_173,0_179,1.0,1,1
0_173,0_227,1.0,1,1
0_173,0_186,1.0,1,1
0_174,0_175,31.0,31,31
0_174,0_188,49.0,49,49
0_174,0_220,2.0,2,2
0_174,0_226,2.0,2,2
0_174,0_236,2.0,2,2
0_174,0_217,2.0,2,2
0_174,0_216,4.0,4,4
0_174,0_205,5.0,5,5
0_174,0_233,1.0,1,1
0_174,0_210,1.0,1,1
0_174,0_218,1.0,1,1
0_174,0_215,2.0,2,2
0_174,0_180,2.0,2,2
0_174,0_223,4.0,4,4
0_174,0_221,6.0,6,6
0_174,0_229,2.0,2,2
0_174,0_225,1.0,1,1
0_174,0_231,1.0,1,1
0_174,0_224,1.0,1,1
0_174,0_190,1.0,1,1
0_174,0_209,4.0,4,6
0_174,0_202,1.0,1,1
0_174,0_206,1.0,1,1
0_174,0_207,1.0,1,1
0_175,0_215,228.0,228,228
0_175,0_207,42.0,42,42
0_175,0_218,19.0,19,19
0_175,0_186,92.0,92,92
0_175,0_231,512.0,512,513
0_175,0_210,107.0,107,107
0_175,0_221,292.0,292,292
0_175,0_219,83.0,83,83
0_175,0_204,98.0,98,98
0_175,0_188,608.0,608,611
0_175,0_201,48.0,48,49
0_175,0_195,64.0,64,64
0_175,0_234,92.0,92,92
0_175,0_205,250.0,250,250
0_175,0_183,269.0,269,271
0_175,0_190,41.0,41,42
0_175,0_230,263.0,263,263
0_175,0_220,460.0,460,460
0_175,0_236,112.0,112,112
0_175,0_191,46.0,46,46
0_175,0_203,30.0,30,30
0_175,0_232,69.0,69,69
0_175,0_187,25.0,25,25
0_175,0_177,52.0,52,57
0_175,0_217,84.0,84,84
0_175,0_199,77.0,77,78
0_175,0_222,28.0,28,28
0_175,0_213,57.0,57,57
0_175,0_192,61.0,61,61
0_175,0_223,323.0,323,323
0_175,0_228,64.0,64,64
0_175,0_216,247.0,247,247
0_175,0_233,59.0,59,59
0_175,0_194,38.0,38,38
0_175,0_206,147.0,147,147
0_175,0_178,81.0,81,81
0_175,0_212,74.0,74,74
0_175,0_229,159.0,159,159
0_175,0_202,31.0,31,32
0_175,0_224,116.0,116,116
0_175,0_181,47.0,47,47
0_175,0_235,24.0,24,24
0_175,0_226,90.0,90,90
0_175,0_225,102.0,102,102
0_175,0_227,37.0,37,37
0_175,0_180,33.0,33,33
0_175,0_176,62.0,62,62
0_175,0_208,27.0,27,27
0_175,0_193,3.0,3,3
0_175,0_211,20.0,20,20
0_175,0_209,44.0,44,44
0_175,0_200,31.0,31,31
0_175,0_237,36.0,36,36
0_175,0_185,3.0,3,3
0_175,0_179,14.0,14,14
0_175,0_189,67.0,67,67
0_175,0_182,37.0,37,37
0_175,0_196,1.0,1,1
0_175,0_197,2.0,2,2
0_175,0_198,31.0,31,32
0_175,0_214,13.0,13,13
0_175,0_184,1.0,1,1
0_176,0_231,1.0,1,1
0_176,0_226,1.0,1,1
0_176,0_210,1.0,1,1
0_176,0_191,1.0,1,1
0_176,0_230,1.0,1,1
0_176,0_227,1.0,1,1
0_176,0_205,2.0,2,2
0_176,0_213,1.0,1,1
0_176,0_236,1.0,1,1
0_176,0_233,1.0,1,1
0_176,0_208,1.0,1,1
0_176,0_188,1.0,1,1
0_176,0_220,1.0,1,1
0_177,0_181,4.0,4,4
0_177,0_205,3.0,3,3
0_177,0_201,2.0,2,2
0_177,0_199,1.0,1,1
0_177,0_202,2.0,2,2
0_177,0_226,1.0,1,1
0_177,0_206,1.0,1,1
0_177,0_188,3.0,3,3
0_177,0_216,1.0,1,1
0_178,0_216,1.0,1,1
0_178,0_223,3.0,3,3
0_178,0_232,1.0,1,1
0_178,0_182,2.0,2,2
0_178,0_186,5.0,5,5
0_178,0_195,1.0,1,1
0_178,0_220,2.0,2,2
0_178,0_200,1.0,1,1
0_178,0_225,2.0,2,2
0_178,0_212,1.0,1,1
0_178,0_210,1.0,1,1
0_178,0_205,2.0,2,2
0_178,0_231,2.0,2,2
0_178,0_191,1.0,1,1
0_178,0_221,2.0,2,2
0_178,0_199,1.0,1,1
0_179,0_210,1.0,1,1
0_179,0_191,1.0,1,1
0_179,0_195,1.0,1,1
0_179,0_186,1.0,1,1
0_180,0_210,1.0,1,1
0_180,0_188,33.0,33,35
0_180,0_204,3.0,3,3
0_180,0_234,1.0,1,1
0_180,0_206,4.0,4,4
0_180,0_231,2.0,2,2
0_180,0_211,2.0,2,2
0_180,0_229,1.0,1,1
0_180,0_227,1.0,1,1
0_180,0_205,2.0,2,2
0_180,0_221,3.0,3,3
0_180,0_226,1.0,1,1
0_180,0_216,1.0,1,1
0_180,0_224,3.0,3,3
0_180,0_217,1.0,1,1
0_180,0_220,1.0,1,1
0_180,0_223,2.0,2,2
0_180,0_215,1.0,1,1
0_180,0_228,1.0,1,1
0_180,0_219,1.0,1,1
0_180,0_213,2.0,2,2
0_180,0_233,1.0,1,1
0_180,0_212,1.0,1,1
0_181,0_195,1.0,1,1
0_181,0_199,3.0,3,3
0_181,0_201,5.0,5,5
0_181,0_190,2.0,2,2
0_181,0_188,5.0,5,5
0_181,0_204,1.0,1,1
0_181,0_205,2.0,2,2
0_181,0_216,4.0,4,4
0_181,0_192,3.0,3,3
0_181,0_220,1.0,1,1
0_181,0_221,1.0,1,1
0_181,0_183,1.0,1,1
0_181,0_209,3.0,3,3
0_181,0_217,1.0,1,1
0_181,0_236,1.0,1,1
0_181,0_223,1.0,1,1
0_181,0_218,1.0,1,1
0_181,0_208,1.0,1,1
0_181,0_198,1.0,1,1
0_182,0_210,2.0,2,2
0_182,0_204,3.0,3,3
0_182,0_187,1.0,1,1
0_182,0_225,1.0,1,1
0_182,0_220,2.0,2,2
0_182,0_208,2.0,2,2
0_182,0_231,3.0,3,3
0_182,0_234,1.0,1,1
0_182,0_194,1.0,1,1
0_182,0_205,1.0,1,1
0_182,0_209,1.0,1,1
0_182,0_233,1.0,1,1
0_182,0_223,1.0,1,1
0_182,0_217,1.0,1,1
0_182,0_237,1.0,1,1
0_182,0_232,1.0,1,1
0_182,0_236,1.0,1,1
0_182,0_228,1.0,1,1
0_182,0_215,1.0,1,1
0_183,0_210,3.0,3,3
0_183,0_228,1.0,1,1
0_183,0_195,3.0,3,4
0_183,0_220,11.0,11,11
0_183,0_215,6.0,6,7
0_183,0_188,4.0,4,4
0_183,0_236,5.0,5,5
0_183,0_206,4.0,4,4
0_183,0_223,6.0,6,6
0_183,0_216,8.0,8,8
0_183,0_204,1.0,1,1
0_183,0_230,3.0,3,3
0_183,0_231,5.0,5,5
0_183,0_221,5.0,5,5
0_183,0_191,1.0,1,1
0_183,0_205,6.0,6,6
0_183,0_225,1.0,1,1
0_183,0_237,1.0,1,1
0_183,0_200,1.0,1,1
0_183,0_184,2.0,2,2
0_183,0_203,2.0,2,2
0_183,0_213,1.0,1,1
0_183,0_222,1.0,1,1
0_183,0_208,1.0,1,1
0_183,0_219,1.0,1,1
0_183,0_189,2.0,2,2
0_183,0_233,1.0,1,1
0_183,0_234,1.0,1,1
0_184,0_232,1.0,1,1
0_184,0_229,1.0,1,1
0_185,0_188,2.0,2,2
0_185,0_209,1.0,1,1
0_185,0_205,1.0,1,1
0_185,0_212,1.0,1,1
0_185,0_221,2.0,2,2
0_186,0_188,4.0,4,4
0_186,0_231,3.0,3,3
0_186,0_204,9.0,9,9
0_186,0_187,1.0,1,1
0_186,0_220,2.0,2,2
0_186,0_216,2.0,2,2
0_186,0_215,3.0,3,3
0_186,0_195,2.0,2,2
0_186,0_213,2.0,2,2
0_186,0_221,1.0,1,1
0_186,0_205,5.0,5,5
0_186,0_223,2.0,2,2
0_186,0_230,1.0,1,1
0_186,0_225,1.0,1,1
0_186,0_201,1.0,1,1
0_186,0_190,2.0,2,2
0_186,0_210,2.0,2,2
0_186,0_222,1.0,1,1
0_186,0_191,1.0,1,1
0_186,0_233,1.0,1,1
0_186,0_218,1.0,1,1
0_186,0_228,1.0,1,1
0_186,0_217,1.0,1,1
0_187,0_204,2.0,2,2
0_187,0_223,1.0,1,1
0_187,0_220,7.0,7,7
0_187,0_236,1.0,1,1
0_187,0_231,2.0,2,2
0_187,0_216,2.0,2,2
0_187,0_221,1.0,1,1
0_187,0_203,1.0,1,1
0_187,0_209,1.0,1,1
0_187,0_200,1.0,1,1
0_188,0_218,3.0,3,3
0_188,0_210,23.0,23,23
0_188,0_236,9.0,9,9
0_188,0_195,6.0,6,6
0_188,0_209,18.0,18,18
0_188,0_215,29.0,29,29
0_188,0_235,1.0,1,1
0_188,0_237,4.0,4,4
0_188,0_205,40.0,40,40
0_188,0_216,23.0,23,23
0_188,0_204,86.0,86,91
0_188,0_199,8.0,8,9
0_188,0_224,10.0,10,10
0_188,0_231,37.0,37,37
0_188,0_219,8.0,8,8
0_188,0_220,27.0,27,27
0_188,0_213,14.0,14,14
0_188,0_225,8.0,8,9
0_188,0_211,4.0,4,4
0_188,0_203,12.0,12,12
0_188,0_201,3.0,3,3
0_188,0_190,17.0,17,17
0_188,0_196,1.0,1,1
0_188,0_217,6.0,6,6
0_188,0_230,18.0,18,18
0_188,0_221,22.0,22,22
0_188,0_234,10.0,10,10
0_188,0_223,22.0,22,22
0_188,0_226,10.0,10,11
0_188,0_212,13.0,13,14
0_188,0_198,3.0,3,3
0_188,0_233,4.0,4,4
0_188,0_228,3.0,3,3
0_188,0_206,14.0,14,15
0_188,0_232,8.0,8,9
0_188,0_193,3.0,3,3
0_188,0_200,3.0,3,4
0_188,0_207,10.0,10,10
0_188,0_227,2.0,2,2
0_188,0_192,4.0,4,4
0_188,0_229,5.0,5,5
0_188,0_191,2.0,2,2
0_188,0_189,2.0,2,2
0_188,0_194,1.0,1,1
0_188,0_214,2.0,2,2
0_188,0_202,1.0,1,1
0_188,0_208,4.0,4,4
0_188,0_222,1.0,1,1
0_189,0_210,1.0,1,1
0_189,0_195,1.0,1,1
0_189,0_236,1.0,1,1
0_189,0_215,1.0,1,1
0_189,0_208,1.0,1,1
0_189,0_230,1.0,1,1
0_189,0_224,1.0,1,1
0_190,0_210,4.0,4,4
0_190,0_195,1.0,1,1
0_190,0_224,2.0,2,3
0_190,0_221,6.0,6,6
0_190,0_228,2.0,2,2
0_190,0_204,5.0,5,5
0_190,0_209,2.0,2,2
0_190,0_199,2.0,2,2
0_190,0_205,1.0,1,1
0_190,0_213,1.0,1,1
0_190,0_203,1.0,1,1
0_190,0_220,3.0,3,3
0_190,0_218,1.0,1,1
0_190,0_223,1.0,1,1
0_190,0_231,2.0,2,2
0_190,0_234,1.0,1,1
0_190,0_230,2.0,2,2
0_190,0_216,1.0,1,1
0_191,0_234,1.0,1,1
0_191,0_204,1.0,1,1
0_191,0_220,1.0,1,1
0_191,0_195,2.0,2,2
0_191,0_201,1.0,1,1
0_191,0_215,2.0,2,2
0_191,0_230,1.0,1,1
0_191,0_199,2.0,2,2
0_191,0_221,1.0,1,1
0_191,0_209,1.0,1,1
0_191,0_200,1.0,1,1
0_191,0_231,1.0,1,1
0_192,0_195,1.0,1,1
0_192,0_204,1.0,1,1
0_192,0_205,2.0,2,2
0_192,0_232,1.0,1,1
0_192,0_202,2.0,2,2
0_192,0_199,3.0,3,3
0_192,0_201,1.0,1,1
0_192,0_225,1.0,1,1
0_192,0_221,1.0,1,1
0_192,0_216,1.0,1,1
0_192,0_230,1.0,1,1
0_192,0_206,1.0,1,1
0_193,0_216,1.0,1,1
0_193,0_205,1.0,1,1
0_193,0_204,1.0,1,1
0_194,0_225,1.0,1,1
0_194,0_218,1.0,1,1
0_194,0_215,1.0,1,1
0_194,0_223,2.0,2,2
0_194,0_212,1.0,1,1
0_194,0_221,1.0,1,1
0_194,0_206,1.0,1,1
0_194,0_231,1.0,1,1
0_194,0_209,1.0,1,1
0_194,0_236,1.0,1,1
0_195,0_210,2.0,2,3
0_195,0_231,8.0,8,8
0_195,0_219,1.0,1,1
0_195,0_223,6.0,6,6
0_195,0_204,2.0,2,2
0_195,0_220,7.0,7,7
0_195,0_221,6.0,6,6
0_195,0_236,1.0,1,1
0_195,0_233,2.0,2,2
0_195,0_228,2.0,2,2
0_195,0_224,4.0,4,4
0_195,0_230,3.0,3,3
0_195,0_229,1.0,1,1
0_195,0_216,1.0,1,1
0_195,0_207,1.0,1,1
0_195,0_237,1.0,1,1
0_198,0_201,2.0,2,2
0_198,0_220,2.0,2,2
0_198,0_199,4.0,4,4
0_198,0_209,1.0,1,1
0_198,0_205,2.0,2,2
0_198,0_213,1.0,1,1
0_199,0_210,2.0,2,2
0_199,0_209,2.0,2,2
0_199,0_225,2.0,2,3
0_199,0_200,2.0,2,3
0_199,0_205,8.0,8,9
0_199,0_204,4.0,4,4
0_199,0_213,2.0,2,2
0_199,0_219,1.0,1,1
0_199,0_206,2.0,2,3
0_199,0_220,2.0,2,2
0_199,0_223,1.0,1,1
0_199,0_211,4.0,4,4
0_199,0_230,1.0,1,1
0_199,0_201,3.0,3,3
0_199,0_231,2.0,2,2
0_199,0_208,1.0,1,1
0_199,0_226,1.0,1,1
0_199,0_216,2.0,2,2
0_199,0_215,1.0,1,1
0_199,0_202,1.0,1,1
0_199,0_233,1.0,1,1
0_199,0_217,1.0,1,1
0_199,0_232,1.0,1,1
0_199,0_221,1.0,1,1
0_200,0_210,5.0,5,6
0_200,0_204,4.0,4,4
0_200,0_205,2.0,2,2
0_200,0_203,1.0,1,1
0_200,0_220,1.0,1,1
0_200,0_236,1.0,1,1
0_200,0_223,2.0,2,2
0_200,0_229,2.0,2,2
0_200,0_230,1.0,1,1
0_200,0_215,1.0,1,1
0_200,0_221,1.0,1,1
0_201,0_218,1.0,1,1
0_201,0_236,1.0,1,1
0_201,0_204,1.0,1,1
0_201,0_223,1.0,1,1
0_201,0_229,1.0,1,1
0_201,0_232,1.0,1,1
0_201,0_230,2.0,2,2
0_201,0_205,2.0,2,2
0_201,0_212,1.0,1,1
0_201,0_216,1.0,1,1
0_201,0_226,1.0,1,1
0_201,0_221,1.0,1,1
0_201,0_231,2.0,2,2
0_202,0_208,1.0,1,1
0_202,0_231,1.0,1,1
0_203,0_210,34.0,34,35
0_203,0_204,8.0,8,8
0_203,0_220,2.0,2,2
0_203,0_213,2.0,2,2
0_203,0_230,2.0,2,2
0_203,0_221,1.0,1,1
0_203,0_224,1.0,1,1
0_203,0_216,1.0,1,1
0_203,0_206,1.0,1,1
0_203,0_229,1.0,1,1
0_204,0_215,148.0,148,151
0_204,0_210,70.0,70,71
0_204,0_223,43.0,43,45
0_204,0_216,179.0,179,186
0_204,0_211,12.0,12,12
0_204,0_205,174.0,174,179
0_204,0_213,37.0,37,37
0_204,0_236,17.0,17,17
0_204,0_206,97.0,97,100
0_204,0_220,91.0,91,94
0_204,0_227,7.0,7,7
0_204,0_217,69.0,69,70
0_204,0_221,40.0,40,40
0_204,0_209,47.0,47,48
0_204,0_207,40.0,40,40
0_204,0_225,13.0,13,13
0_204,0_212,38.0,38,39
0_204,0_230,48.0,48,49
0_204,0_231,46.0,46,47
0_204,0_224,18.0,18,18
0_204,0_208,12.0,12,12
0_204,0_232,10.0,10,10
0_204,0_228,5.0,5,5
0_204,0_219,12.0,12,13
0_204,0_214,11.0,11,11
0_204,0_218,17.0,17,17
0_204,0_229,12.0,12,12
0_204,0_234,11.0,11,11
0_204,0_233,8.0,8,8
0_204,0_226,13.0,13,15
0_204,0_237,3.0,3,3
0_204,0_235,3.0,3,3
0_204,0_222,1.0,1,1
0_205,0_215,294.0,294,297
0_205,0_218,14.0,14,14
0_205,0_210,97.0,97,100
0_205,0_211,21.0,21,21
0_205,0_220,144.0,144,144
0_205,0_216,258.0,258,266
0_205,0_212,55.0,55,55
0_205,0_213,99.0,99,103
0_205,0_208,24.0,24,24
0_205,0_217,165.0,165,166
0_205,0_206,162.0,162,165
0_205,0_207,47.0,47,49
0_205,0_209,38.0,38,38
0_205,0_219,5.0,5,5
0_205,0_231,13.0,13,13
0_205,0_225,13.0,13,13
0_205,0_230,63.0,63,66
0_205,0_234,11.0,11,11
0_205,0_221,22.0,22,23
0_205,0_236,3.0,3,3
0_205,0_224,6.0,6,6
0_205,0_228,14.0,14,14
0_205,0_229,4.0,4,4
0_205,0_223,31.0,31,32
0_205,0_227,5.0,5,5
0_205,0_214,17.0,17,17
0_205,0_232,1.0,1,1
0_205,0_226,11.0,11,11
0_205,0_237,9.0,9,9
0_205,0_233,6.0,6,7
0_206,0_218,9.0,9,9
0_206,0_210,90.0,90,92
0_206,0_224,1.0,1,1
0_206,0_212,43.0,43,44
0_206,0_230,28.0,28,29
0_206,0_213,43.0,43,43
0_206,0_236,21.0,21,21
0_206,0_217,101.0,101,101
0_206,0_215,165.0,165,169
0_206,0_225,4.0,4,4
0_206,0_220,144.0,144,144
0_206,0_231,15.0,15,15
0_206,0_216,262.0,262,265
0_206,0_209,33.0,33,33
0_206,0_221,17.0,17,17
0_206,0_234,6.0,6,6
0_206,0_233,3.0,3,3
0_206,0_207,21.0,21,23
0_206,0_208,11.0,11,11
0_206,0_214,4.0,4,4
0_206,0_227,2.0,2,2
0_206,0_228,3.0,3,3
0_206,0_229,4.0,4,4
0_206,0_223,7.0,7,7
0_206,0_211,10.0,10,10
0_206,0_219,3.0,3,3
0_206,0_237,1.0,1,1
0_207,0_231,3.0,3,3
0_207,0_218,3.0,3,3
0_207,0_210,16.0,16,16
0_207,0_213,5.0,5,5
0_207,0_211,5.0,5,5
0_207,0_215,43.0,43,43
0_207,0_220,5.0,5,5
0_207,0_216,62.0,62,62
0_207,0_209,11.0,11,11
0_207,0_212,8.0,8,8
0_207,0_236,5.0,5,5
0_207,0_228,1.0,1,1
0_207,0_221,4.0,4,4
0_207,0_217,12.0,12,12
0_207,0_223,5.0,5,5
0_207,0_224,2.0,2,2
0_207,0_230,4.0,4,4
0_207,0_234,1.0,1,1
0_207,0_226,1.0,1,1
0_207,0_233,2.0,2,2
0_207,0_214,1.0,1,1
0_207,0_208,1.0,1,1
0_208,0_210,7.0,7,7
0_208,0_225,4.0,4,4
0_208,0_220,29.0,29,30
0_208,0_209,3.0,3,3
0_208,0_237,2.0,2,2
0_208,0_230,14.0,14,14
0_208,0_223,8.0,8,8
0_208,0_221,8.0,8,9
0_208,0_216,14.0,14,15
0_208,0_213,6.0,6,6
0_208,0_212,4.0,4,4
0_208,0_236,2.0,2,2
0_208,0_226,4.0,4,4
0_208,0_215,11.0,11,11
0_208,0_229,3.0,3,4
0_208,0_217,15.0,15,15
0_208,0_227,1.0,1,1
0_208,0_232,1.0,1,1
0_208,0_234,2.0,2,2
0_208,0_228,4.0,4,4
0_208,0_231,3.0,3,3
0_208,0_219,2.0,2,2
0_208,0_224,1.0,1,1
0_208,0_235,1.0,1,1
0_208,0_211,1.0,1,1
0_209,0_218,4.0,4,6
0_209,0_210,23.0,23,24
0_209,0_231,8.0,8,8
0_209,0_215,54.0,54,54
0_209,0_216,89.0,89,89
0_209,0_220,21.0,21,21
0_209,0_223,7.0,7,7
0_209,0_225,9.0,9,9
0_209,0_236,5.0,5,5
0_209,0_211,4.0,4,4
0_209,0_212,4.0,4,4
0_209,0_221,8.0,8,8
0_209,0_213,9.0,9,9
0_209,0_230,4.0,4,4
0_209,0_233,2.0,2,2
0_209,0_228,4.0,4,4
0_209,0_227,1.0,1,1
0_209,0_217,16.0,16,16
0_209,0_224,2.0,2,2
0_209,0_226,1.0,1,1
0_209,0_234,2.0,2,2
0_209,0_229,1.0,1,1
0_209,0_219,2.0,2,2
0_210,0_215,93.0,93,94
0_210,0_218,7.0,7,7
0_210,0_216,103.0,103,107
0_210,0_220,121.0,121,128
0_210,0_231,46.0,46,46
0_210,0_229,21.0,21,21
0_210,0_225,16.0,16,16
0_210,0_221,39.0,39,40
0_210,0_223,31.0,31,31
0_210,0_224,11.0,11,11
0_210,0_233,7.0,7,7
0_210,0_232,7.0,7,7
0_210,0_236,29.0,29,29
0_210,0_230,57.0,57,59
0_210,0_217,41.0,41,42
0_210,0_227,5.0,5,5
0_210,0_213,26.0,26,27
0_210,0_219,11.0,11,11
0_210,0_226,13.0,13,13
0_210,0_212,22.0,22,22
0_210,0_228,12.0,12,13
0_210,0_211,4.0,4,4
0_210,0_222,3.0,3,4
0_210,0_234,14.0,14,15
0_210,0_237,8.0,8,8
0_210,0_214,6.0,6,6
0_210,0_235,2.0,2,2
0_211,0_216,11.0,11,11
0_211,0_220,10.0,10,10
0_211,0_215,15.0,15,15
0_211,0_217,10.0,10,10
0_211,0_221,1.0,1,1
0_211,0_219,2.0,2,2
0_211,0_213,4.0,4,4
0_211,0_212,3.0,3,3
0_211,0_223,2.0,2,2
0_211,0_214,1.0,1,1
0_211,0_218,2.0,2,2
0_211,0_228,1.0,1,1
0_211,0_224,2.0,2,2
0_211,0_233,2.0,2,2
0_211,0_236,1.0,1,1
0_211,0_231,1.0,1,1
0_211,0_226,1.0,1,1
0_211,0_230,1.0,1,1
0_212,0_220,31.0,31,31
0_212,0_230,16.0,16,16
0_212,0_231,3.0,3,3
0_212,0_225,5.0,5,5
0_212,0_216,29.0,29,29
0_212,0_219,3.0,3,3
0_212,0_215,27.0,27,28
0_212,0_223,7.0,7,7
0_212,0_236,4.0,4,4
0_212,0_217,40.0,40,41
0_212,0_221,7.0,7,7
0_212,0_213,20.0,20,20
0_212,0_232,12.0,12,12
0_212,0_234,3.0,3,3
0_212,0_229,1.0,1,1
0_212,0_218,2.0,2,2
0_212,0_226,5.0,5,5
0_212,0_224,1.0,1,1
0_212,0_233,2.0,2,2
0_212,0_228,2.0,2,2
0_212,0_214,1.0,1,1
0_213,0_234,15.0,15,15
0_213,0_219,9.0,9,9
0_213,0_230,29.0,29,29
0_213,0_215,43.0,43,44
0_213,0_221,21.0,21,22
0_213,0_220,95.0,95,95
0_213,0_228,8.0,8,8
0_213,0_232,7.0,7,7
0_213,0_223,11.0,11,12
0_213,0_236,11.0,11,12
